long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,
835,658,0,1000,1,,,"Krick",,,,,,,,,,,,,,0xFF01FE,,
836,658,1,2000,1,,,"Krick",,,,,,,,,,,,,,0xFF01FE,,
837,658,0,2000,2,,,"Seigneur Tyrannus",,,,,,,,,,,,,,0xFF01FE,,
838,658,1,3000,2,,,"Seigneur Tyrannus",,,,,,,,,,,,,,0xFF01FE,,
842,668,1,0,1,,,"Falric",,,,,,,,,,,,,,0xFF01FE,,
841,668,0,500,1,,,"Falric",,,,,,,,,,,,,,0xFF01FE,,
840,668,1,1000,0,,,"Marwyn",,,,,,,,,,,,,,0xFF01FE,,
839,668,0,1500,0,,,"Marwyn",,,,,,,,,,,,,,0xFF01FE,,
843,668,0,2000,2,,,"Échappé à Arthas",,,,,,,,,,,,,,0xFF01FE,,
844,668,1,3000,2,,,"Échappé à Arthas",,,,,,,,,,,,,,0xFF01FE,,
889,724,1,-1000,1,,,"Baltharus l'Enfant de la guerre",,,,,,,,,,,,,,0xFF01FE,,
890,724,0,-1000,1,,,"Baltharus l'Enfant de la guerre",,,,,,,,,,,,,,0xFF01FE,,
891,724,0,-500,2,,,"Saviana Ragefeu",,,,,,,,,,,,,,0xFF01FE,,
892,724,1,-500,2,,,"Saviana Ragefeu",,,,,,,,,,,,,,0xFF01FE,,
893,724,0,-250,3,,,"Général Zarithrian",,,,,,,,,,,,,,0xFF01FE,,
894,724,1,-250,3,,,"Général Zarithrian",,,,,,,,,,,,,,0xFF01FE,,
887,724,0,0,0,,,"Halion",,,,,,,,,,,,,,0xFF01FE,,
888,724,1,0,0,,,"Halion",,,,,,,,,,,,,,0xFF01FE,,
